episode,length,time,reward,delta
0,49.0,0.002912000000151238,0.0,-0.00023446863953037933
1,43.0,0.0024659999999130378,0.0,-0.00025139490601235384
2,20.0,0.0011970000000474101,0.0,-0.0007904792322298104
3,30.0,0.0016920000000482105,0.0,-0.0006128273884615793
4,10.0,0.0006240000000161672,0.0,-0.00023170360179677568
5,66.0,0.003877000000102271,0.0,-0.0002927540037655265
6,35.0,0.0020140000001447333,0.0,-0.00030641369423078967
7,109.0,0.006431000000020504,0.0,-0.000542161725552942
8,28.0,0.0016840000000684086,0.0,1.8006563352293732e-07
9,34.0,0.0020850000000791624,0.0,4.400536434899791e-05
10,55.0,0.0032169999999496213,0.0,-0.00011585180089838782
11,99.0,0.00556500000016058,0.0,-0.0007640416057479206
12,13.0,0.000862000000097396,0.0,6.875347246693547e-05
13,18.0,0.0009990000000925647,0.0,-0.00011276014122310967
14,35.0,0.0020019999999476568,0.0,-1.1479582314870399e-05
15,26.0,0.001410000000078071,0.0,-0.00040742928361656356
16,28.0,0.0015089999999418069,0.0,-0.0007302412661886063
17,30.0,0.0016479999999319261,0.0,-0.0006258199979697174
18,17.0,0.0009400000001278386,0.0,9.003281676146866e-08
19,91.0,0.004746000000068307,0.0,-0.00012924344090147367
20,19.0,0.0010819999999966967,0.0,-3.319557399125955e-05
21,40.0,0.0021520000000236905,0.0,3.437673623346774e-05
22,103.0,0.00585599999999431,0.0,0.00012071246916491816
23,12.0,0.0006869999999707943,0.0,5.698452280492806e-05
24,120.0,0.0066530000001421286,0.0,-0.0002201554610252292
25,41.0,0.0021719999999731954,0.0,0.00010248149469098099
26,56.0,0.0033260000000154832,0.0,-0.0003952396161149052
27,54.0,0.003037000000176704,0.0,0.00013682464342685015
28,55.0,0.0031119999998736603,0.0,0.00010786646761387336
29,16.0,0.0008990000001176668,0.0,0.00010502047522632123
30,19.0,0.001050000000077489,0.0,-0.00019761980805745264
31,10.0,0.0006889999999657448,0.0,5.393323380693669e-05
32,16.0,0.0010039999999662541,0.0,0.00014131006214845057
33,127.0,0.006883000000016182,0.0,-0.0006691851427792333
34,21.0,0.0011479999998300627,0.0,0.00010860518182918587
35,69.0,0.0037960000001930894,0.0,-0.0005167711601716859
36,9.0,0.0005369999998947605,0.0,5.430259091459294e-05
37,21.0,0.0013530000001082954,0.0,5.124074734549051e-05
38,12.0,0.0006909999999606953,0.0,5.251023761316062e-05
39,18.0,0.0009880000000066502,0.0,2.715129545729647e-05
40,56.0,0.003224000000045635,0.0,-0.000186320894033896
41,47.0,0.002479999999877691,0.0,0.00010832099785867578
42,8.0,0.00048100000003614696,0.0,1.3575647728648242e-05
43,7.0,0.00042800000005627226,0.0,6.787823864324135e-06
44,24.0,0.001299999999901047,0.0,5.416049892933789e-05
45,38.0,0.0021180000001095323,0.0,-2.205888867409816e-05
46,8.0,0.000565000000051441,0.0,-5.6380070611554824e-05
47,10.0,0.0006229999999050051,0.0,0.00012905947952797603
48,14.0,0.0007909999999355932,0.0,-9.23615949848375e-05
49,29.0,0.0015530000000580912,0.0,-0.00011007773051261463
50,7.0,0.0004279999998288986,0.0,0.00010932678586568961
51,26.0,0.00143900000011854,0.0,6.452973976398801e-05
52,33.0,0.001784999999927095,0.0,7.47776258541754e-05
53,15.0,0.0008439999999154679,0.0,9.016911107586703e-05
54,73.0,0.0038799999999810098,0.0,-0.0003651206330943032
55,19.0,0.0010439999998652638,0.0,0.00011913860761413905
56,37.0,0.002142000000048938,0.0,5.956930380706952e-05
57,11.0,0.0007169999998950516,0.0,9.244844432296928e-05
