step,reward,mean,median,std,max,min
0,-13.375,-13.375,-13.375,0.0,-13.375,-13.375
1,-13.375,-13.375,-13.375,0.0,-13.375,-13.375
2,-13.375,-13.375,-13.375,0.0,-13.375,-13.375
3,-13.375,-13.375,-13.375,0.0,-13.375,-13.375
4,6.769230769230769,-9.346153846153847,-13.375,8.057692307692307,6.769230769230769,-13.375
5,6.769230769230769,-6.6602564102564115,-13.375,9.496081452473186,6.769230769230769,-13.375
6,6.769230769230769,-4.741758241758243,-13.375,9.968808906199994,6.769230769230769,-13.375
7,-13.375,-5.820913461538462,-13.375,9.752283786423723,6.769230769230769,-13.375
8,6.769230769230769,-4.422008547008548,-13.375,10.00974874543175,6.769230769230769,-13.375
9,6.769230769230769,-3.302884615384616,-3.3028846153846154,10.072115384615383,6.769230769230769,-13.375
10,-13.375,-4.218531468531469,-13.375,10.030408723543033,6.769230769230769,-13.375
11,6.769230769230769,-3.3028846153846163,-3.3028846153846154,10.072115384615383,6.769230769230769,-13.375
12,6.769230769230769,-2.5281065088757404,6.769230769230769,10.0422720141749,6.769230769230769,-13.375
13,-13.375,-3.3028846153846163,-3.3028846153846154,10.072115384615383,6.769230769230769,-13.375
14,6.769230769230769,-2.6314102564102573,6.769230769230769,10.04970798114283,6.769230769230769,-13.375
15,-13.375,-3.3028846153846154,-3.3028846153846154,10.072115384615385,6.769230769230769,-13.375
16,-13.375,-3.8953619909502257,-13.375,10.054674479089256,6.769230769230769,-13.375
17,-13.375,-4.422008547008547,-13.375,10.00974874543175,6.769230769230769,-13.375
18,-13.375,-4.893218623481781,-13.375,9.945770259949478,6.769230769230769,-13.375
19,6.769230769230769,-4.310096153846153,-13.375,10.02162827278062,6.769230769230769,-13.375
20,-13.375,-4.741758241758241,-13.375,9.968808906199996,6.769230769230769,-13.375
21,-13.375,-5.134178321678321,-13.375,9.904235037714672,6.769230769230769,-13.375
22,-13.375,-5.49247491638796,-13.375,9.83123606850929,6.769230769230769,-13.375
23,6.769230769230769,-4.981570512820513,-13.375,9.931239699994949,6.769230769230769,-13.375
24,-13.375,-5.3173076923076925,-13.375,9.868617329097612,6.769230769230769,-13.375
25,6.769230769230769,-4.852440828402367,-13.375,9.95220497496429,6.769230769230769,-13.375
26,6.769230769230769,-4.422008547008547,-13.375,10.00974874543175,6.769230769230769,-13.375
