episode,length,time,reward,delta
0,51.0,0.002989999999954307,49.0,100.0
1,500.0,0.02813800000012634,-1986.0,-0.675081
2,500.0,0.027484000000185915,-1590.0,-0.7480520100000001
3,500.0,0.0274650000001202,-1788.0,-0.03417104167774787
4,426.0,0.023029999999835127,-1316.0,90.0
5,305.0,0.01664100000016333,-997.0,81.0
6,72.0,0.003925999999864871,28.0,72.9
7,222.0,0.012361000000055355,-419.0,65.61
8,98.0,0.005384999999932916,-295.0,59.049
9,114.0,0.0069109999999454885,-212.0,53.1441
10,325.0,0.018707000000176777,-423.0,47.82969
11,110.0,0.00636800000029325,-109.0,43.046721
12,298.0,0.016947000000072876,-792.0,38.7420489
13,66.0,0.004061000000092463,-65.0,34.86784401
14,130.0,0.0073879999999917345,-129.0,31.381059609000005
15,81.0,0.0045780000000377186,-80.0,28.2429536481
16,77.0,0.004321999999774562,-76.0,25.41865828329
17,36.0,0.0019909999996343686,64.0,22.876792454961006
18,196.0,0.010731999999734398,-492.0,20.589113209464898
19,99.0,0.00544499999978143,-296.0,18.530201888518405
20,71.0,0.0038930000000618747,29.0,16.677181699666562
21,149.0,0.008123999999952503,-247.0,15.0094635296999
22,36.0,0.0019439999996393453,64.0,13.50851717672991
23,183.0,0.009817000000111875,-281.0,12.157665459056915
24,50.0,0.002688999999918451,-49.0,10.94189891315122
25,79.0,0.0043350000000828,21.0,9.847709021836096
26,60.0,0.003408000000035827,40.0,8.862938119652483
27,124.0,0.006660000000010768,-321.0,7.976644307687238
28,185.0,0.009879999999611755,-481.0,7.178979876918518
29,38.0,0.0020370000002003508,-37.0,6.461081889226662
30,112.0,0.006154999999580468,-111.0,5.8149737003039945
31,60.0,0.003220000000055734,40.0,5.233476330273589
32,112.0,0.00592400000005,-111.0,4.710128697246233
33,28.0,0.0015570000000479922,72.0,4.239115827521616
34,30.0,0.0016229999996539846,70.0,3.815204244769461
35,63.0,0.003507999999783351,37.0,3.433683820292515
36,114.0,0.006075000000237196,-113.0,3.0903154382632607
37,47.0,0.0026150000003326568,-46.0,2.781283894436939
38,28.0,0.0015670000002501183,72.0,2.503155504993245
39,33.0,0.0018119999999726133,67.0,2.252839954493922
40,60.0,0.0035410000000410946,-158.0,2.027555959044534
41,53.0,0.0028550000001814624,47.0,1.8248003631400849
42,43.0,0.0023349999996753468,-141.0,1.6423203268260806
43,83.0,0.004415000000335567,-82.0,1.4780882941434754
44,42.0,0.002322000000276603,58.0,1.3302794647291307
45,19.0,0.0013160000003153982,81.0,1.1972515182562233
46,142.0,0.00788700000020981,-438.0,1.0775263664306038
47,50.0,0.0027700000000550062,50.0,0.9697737297875477
48,41.0,0.0022969999999986612,59.0,0.8727963568087915
49,39.0,0.0021219999998720596,61.0,0.7855167211279195
50,106.0,0.005811999999878026,-204.0,0.7069650490151247
51,30.0,0.0016580000001340522,-29.0,0.6362685441136193
52,61.0,0.0034620000001268636,-60.0,0.5726416897022517
53,32.0,0.001760999999987689,68.0,0.5153775207320308
54,37.0,0.00204200000007404,-36.0,0.46383976865882914
55,51.0,0.002793999999994412,49.0,0.41745579179294623
56,65.0,0.0036849999996775296,35.0,0.37571021261365445
57,24.0,0.0012990000000172586,76.0,0.3381391913522833
58,22.0,0.0012059999999110005,78.0,0.3043252722170564
59,50.0,0.00297599999976228,50.0,0.27389274499535077
60,64.0,0.0034200000000055297,-63.0,0.24650347049581
61,41.0,0.0025439999999434804,59.0,0.22185312344622332
62,25.0,0.0019280000001344888,75.0,0.19966781110160525
63,53.0,0.0030799999999544525,-52.0,0.179701029991449
64,30.0,0.001772999999957392,70.0,0.1617309269923055
65,57.0,0.003281999999671825,-56.0,0.14555783429307212
66,42.0,0.0024080000002868474,-41.0,0.1310020508637706
67,24.0,0.0014240000000427244,-23.0,0.11790184577739637
68,58.0,0.003465000000232976,-57.0,0.10611166119966242
