params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.284810000000107,100,-6.727403846153846,-13.375,-13.375,6.769230769230769,9.472073498400315
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.10735300000033,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659616
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.128873999999996,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",29.79893099999981,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.2752000000000407,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649726
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.1979559999999765,100,-3.705769230769231,-13.375,-13.375,6.769230769230769,10.064054466649726
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.913101000000097,100,-1.8927884615384618,6.769230769230769,-13.375,6.769230769230769,9.972920192095904
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.8819079999998394,100,-3.504326923076923,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.8734910000002856,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.7979679999998552,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649727
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.7815409999998337,100,-1.8927884615384616,6.769230769230769,-13.375,6.769230769230769,9.972920192095904
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.7750230000001466,100,-1.6913461538461538,6.769230769230769,-13.375,6.769230769230769,9.942356466551988
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.804384999999911,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",29.839782000000014,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.348511000000144,100,-2.4971153846153844,6.769230769230769,-13.375,6.769230769230769,10.039832880469248
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.194358000000193,100,-4.310096153846153,-13.375,-13.375,6.769230769230769,10.02162827278062
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.2173909999996795,100,-5.720192307692308,-13.375,-13.375,6.769230769230769,9.777736539798768
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.994509999999991,100,-3.101442307692307,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
