episode,length,time,reward,delta
0,500.0,0.029139000000213855,-2679.0,-0.04903599600100006
1,79.0,0.0049340000000484,21.0,100.0
2,107.0,0.005702999999812164,-106.0,10.0
3,19.0,0.0010659999998097192,-18.0,1.0
4,141.0,0.007794000000103551,-338.0,0.09999999999999432
5,25.0,0.0014420000002246525,75.0,0.010000000000005116
6,58.0,0.0032620000001770677,-57.0,0.0010000000000047748
7,68.0,0.0037670000001526205,-67.0,0.00010000000000331966
8,25.0,0.0013730000000578002,75.0,1.0000000003174137e-05
9,51.0,0.0027100000002064917,-50.0,9.999999974752427e-07
10,47.0,0.002708999999867956,-343.0,9.999999406318238e-08
11,46.0,0.0025300000002062006,-243.0,9.999993721976352e-09
12,19.0,0.0010540000002947636,81.0,1.0000036354540498e-09
13,30.0,0.0016609999997854175,-128.0,1.000017846308765e-10
14,21.0,0.001261999999769614,79.0,1.000444171950221e-11
15,29.0,0.0015819999998711864,-226.0,9.947598300641403e-13
16,13.0,0.0007799999998496787,87.0,9.947598300641403e-14
17,21.0,0.0011660000000119908,79.0,1.4210854715202004e-14
18,16.0,0.0009009999998852436,84.0,0.0
19,20.0,0.0011089999998148414,-19.0,0.0
20,41.0,0.0025640000003477326,-40.0,0.0
21,35.0,0.0019230000002607994,-34.0,0.0
22,53.0,0.0029589999999188876,-448.0,0.0
23,13.0,0.0007529999998041603,87.0,0.0
24,59.0,0.003150000000005093,-652.0,0.0
25,22.0,0.0012160000001131266,-120.0,0.0
26,26.0,0.0014599999999518332,-25.0,0.0
27,14.0,0.0008680000000822474,86.0,0.0
28,13.0,0.0007810000001882145,87.0,0.0
29,33.0,0.001985999999760679,-32.0,0.0
30,25.0,0.0014449999998760177,-24.0,0.0
31,13.0,0.0007460000001628941,87.0,0.0
32,30.0,0.0016300000002047454,-29.0,0.0
33,16.0,0.0009089999998650455,84.0,0.0
34,16.0,0.0009360000003653113,84.0,0.0
35,18.0,0.0010299999999006104,82.0,0.0
36,21.0,0.0011749999998755811,79.0,0.0
37,43.0,0.0023809999997865816,-240.0,0.0
38,16.0,0.0009039999999913562,-15.0,0.0
39,27.0,0.0016470000000481377,-26.0,0.0
40,14.0,0.000792000000274129,86.0,0.0
41,51.0,0.002767999999832682,-248.0,0.0
42,16.0,0.0009829999999055872,84.0,0.0
43,41.0,0.0022429999999076244,-40.0,0.0
44,20.0,0.0011020000001735752,80.0,0.0
45,32.0,0.0017459999999118736,-229.0,0.0
46,14.0,0.0008290000000670261,86.0,0.0
47,42.0,0.002276999999594409,-239.0,0.0
48,52.0,0.0029289999997672567,-348.0,0.0
49,27.0,0.0014770000002499728,-26.0,0.0
50,18.0,0.0015559999997094565,82.0,0.0
51,29.0,0.0017400000001543958,-127.0,0.0
52,20.0,0.001168999999663356,80.0,0.0
53,20.0,0.0011629999999058782,-118.0,0.0
54,20.0,0.001198999999814987,-19.0,0.0
55,28.0,0.0016000000000531145,-126.0,0.0
56,24.0,0.0013850000000275031,-23.0,0.0
57,18.0,0.001073999999789521,82.0,0.0
58,31.0,0.0019620000002760207,-129.0,0.0
59,59.0,0.0033910000001924345,-553.0,0.0
60,12.0,0.0009570000001986045,88.0,0.0
61,26.0,0.003412999999909516,-124.0,0.0
62,30.0,0.0024730000000090513,-29.0,0.0
63,15.0,0.000950000000102591,85.0,0.0
64,14.0,0.0008459999999104184,86.0,0.0
65,29.0,0.0018279999999322172,-127.0,0.0
66,18.0,0.0012539999997898121,-17.0,0.0
67,24.0,0.001621000000341155,-122.0,0.0
