episode,length,time,reward,delta
0,17.0,0.0009930000001077133,0.0,-0.0005909379233930321
1,12.0,0.0006929999999556458,0.0,-0.0005817118071158947
2,10.0,0.0005830000000059954,0.0,-0.00029085590355794734
3,41.0,0.002232999999932872,0.0,-0.0003936514744156583
4,51.0,0.0026890000001458247,0.0,-0.00014542795177897362
5,30.0,0.0016870000001745211,0.0,-0.0003846991417081296
6,102.0,0.005661000000145577,0.0,-8.123313299931295e-05
7,23.0,0.001326000000062777,0.0,-0.00027063688627615694
8,49.0,0.002621999999973923,0.0,-2.4593954848515305e-06
9,64.0,0.003629999999930078,0.0,0.00025090076219741274
10,52.0,0.002971000000115964,0.0,-0.00017013353168146496
11,32.0,0.0017499999999017746,0.0,-0.00020604601723499792
12,12.0,0.0007289999998647545,0.0,-2.5914419654692923e-05
13,37.0,0.0021679999999832944,0.0,-0.00019234957085406478
14,5.0,0.0003440000000409782,0.0,0.00022523450484386947
15,6.0,0.00039199999991978984,0.0,0.0002749136273620473
16,11.0,0.0007669999999961874,0.0,-9.604700717910495e-05
17,35.0,0.001855999999861524,0.0,8.235048920875437e-05
18,10.0,0.0005770000000211439,0.0,-4.802350358955245e-05
19,12.0,0.0006809999999859428,0.0,-2.4011751794776224e-05
20,16.0,0.0008889999999155407,0.0,8.642710968433196e-05
21,10.0,0.000582000000122207,0.0,4.1175244604377183e-05
22,16.0,0.0008900000000267028,0.0,0.000164389507105447
23,14.0,0.0010070000000723667,0.0,-0.00013142199203611542
24,51.0,0.0027410000000145374,0.0,0.0002422993496719512
25,30.0,0.0016029999999318534,0.0,0.0002767382076706282
26,32.0,0.0017050000001290755,0.0,-0.00010302300861749896
27,24.0,0.0013360000000375294,0.0,-0.00041260648437932743
28,92.0,0.005018999999947482,0.0,0.00013205644940859267
29,41.0,0.002355000000079599,0.0,-0.0005147600578545022
30,50.0,0.002617999999984022,0.0,5.763517832095013e-06
31,6.0,0.00037300000008144707,0.0,0.00024304806790275665
32,79.0,0.004097000000001572,0.0,4.195937088883787e-05
33,28.0,0.0015000000000782165,0.0,0.00029494935970050243
34,8.0,0.0005139999998391431,0.0,0.0002400213194030094
35,70.0,0.0037999999999556167,0.0,0.00021838191648401882
36,27.0,0.0016369999998460116,0.0,0.00022628930932863615
37,18.0,0.0010299999999006104,0.0,0.00011314465466431806
38,33.0,0.001790000000028158,0.0,-9.617478542703236e-05
39,8.0,0.0004739999999401334,0.0,5.657232733215906e-05
40,91.0,0.0047669999999016,0.0,0.0003265383234651487
41,25.0,0.001423000000158936,0.0,0.00016326916173257434
42,18.0,0.0010419999998703133,0.0,-0.00010442193139471992
43,27.0,0.0015499999999519787,0.0,0.00023069799316923888
44,47.0,0.0033639999999195425,0.0,-0.0005018347860715356
45,25.0,0.0014790000000175496,0.0,0.00017368418585665213
46,23.0,0.001320999999961714,0.0,0.0003601557509645537
47,11.0,0.0007089999999152496,0.0,8.684209292832606e-05
48,10.0,0.0006120000000464643,0.0,0.00025117525479949804
49,33.0,0.0019669999999223364,0.0,0.0002752380546137352
50,11.0,0.0006809999999859428,0.0,0.00012558762739974904
51,31.0,0.001784999999927095,0.0,4.3421046464163005e-05
52,12.0,0.0008669999999710853,0.0,0.00013761902730686763
53,15.0,0.0009250000000520231,0.0,0.00026189323356514544
54,22.0,0.0014119999998456478,0.0,3.1521743444209744e-05
55,6.0,0.00040199999989454227,0.0,0.000302527565403256
56,8.0,0.0005199999998239946,0.0,0.00013094661678257272
57,9.0,0.0005590000000665896,0.0,0.00027665714068969305
58,59.0,0.0033599999999296415,0.0,0.0001468357595304667
59,7.0,0.0004500000000007276,0.0,0.0002917031735206998
60,41.0,0.0025479999999333813,0.0,0.0002574800450815006
61,14.0,0.0008820000000469008,0.0,0.0002428355260648605
62,94.0,0.005491000000120039,0.0,0.0001463756052649024
63,10.0,0.0006739999998899293,0.0,6.547330839128639e-05
64,19.0,0.0011410000001887965,0.0,0.00023798219118542123
65,14.0,0.0008680000000822474,0.0,0.00018992089921659544
66,8.0,0.0005060000000867149,0.0,3.273665419564319e-05
67,21.0,0.0012799999999515421,0.0,0.000341039866833044
68,18.0,0.0010270000000218715,0.0,0.00013832857034484653
69,37.0,0.0020570000001498556,0.0,-0.0002435326163264386
70,17.0,0.0010219999999208085,0.0,2.8817589160475064e-06
71,32.0,0.001784999999927095,0.0,0.00020880502389389034
72,15.0,0.000918999999839798,0.0,0.00017051993341652203
73,18.0,0.001033000000006723,0.0,8.525996670826104e-05
74,25.0,0.0015300000000024738,0.0,-8.61812905005294e-05
75,54.0,0.0029520000000502478,0.0,4.262998335413052e-05
76,22.0,0.001286999999820182,0.0,8.219475355272348e-05
77,45.0,0.002725999999938722,0.0,7.318780263245117e-05
78,37.0,0.0021979999999075517,0.0,-0.00022096374586820657
79,22.0,0.0012530000001333974,0.0,0.00018038827254395436
80,29.0,0.0017179999999825668,0.0,3.6593901316225614e-05
81,6.0,0.00037300000008144707,0.0,0.0001859768452369899
82,7.0,0.0004219999998440471,0.0,0.00027977275056887747
83,5.0,0.00037200000019765866,0.0,0.0002943865972077199
84,61.0,0.0034929999999349093,0.0,0.00029924011269039574
85,12.0,0.0007410000000618311,0.0,0.00022107286692159977
86,38.0,0.0022290000001703447,0.0,0.0002987490509078275
87,23.0,0.0013299999998253043,0.0,0.00030253467865987225
88,24.0,0.0014410000001134904,0.0,-1.0428774016010942e-05
89,13.0,0.0007909999999355932,0.0,0.0002234662177033472
90,12.0,0.0006880000000819564,0.0,1.4408794580237803e-06
91,62.0,0.0032879999998840503,0.0,0.00023830274729321857
92,44.0,0.002338000000008833,0.0,7.416530819023002e-05
93,46.0,0.0025619999998980347,0.0,0.0003023518799618151
94,28.0,0.0016800000000785076,0.0,0.00010607314936721352
95,19.0,0.00148799999988114,0.0,-1.4160043126802409e-05
96,16.0,0.0008829999999306892,0.0,0.0003070953861440593
97,7.0,0.0004240000000663713,0.0,0.0002873714885690635
98,26.0,0.0017209999998613057,0.0,0.0001133716253662054
99,31.0,0.0016610000000127911,0.0,0.00024409272127782813
100,26.0,0.00140600000008817,0.0,0.00010831223278399532
101,13.0,0.000849000000016531,0.0,0.00021002840426847415
102,23.0,0.0012810000000627042,0.0,0.00015354769307202967
