steps,time,reward,delta,converged
1,0.007885000000044329,0.0,0,False
2,0.0007289999999784413,0.0,0,False
3,0.00513300000000072,0.0,0,False
4,0.003440000000011878,0.0,0,False
5,0.005847000000017033,0.0,0,False
6,0.004394999999988158,0.0,0,False
7,0.012075999999979103,0.0,0,False
8,0.0013730000000009568,0.0,0,False
9,0.012168999999971675,0.0,0,False
10,0.027856999999983145,0.0,0,False
11,0.0027799999999729152,0.0,0,False
12,0.004048000000011598,0.0,0,False
13,0.001606000000037966,0.0,0,False
14,0.0007209999999986394,0.0,0,False
15,0.016788000000019565,0.0,0,False
16,0.021899000000018987,0.0,0,False
17,0.007439999999974134,0.0,0,False
18,0.006103999999993448,0.0,0,False
19,0.0020069999999918764,0.0,0,False
20,0.0013020000000096843,0.0,0,False
21,0.008183000000030916,0.0,0,False
22,0.0012419999999906395,0.0,0,False
23,0.015076999999962482,0.0,0,False
24,0.0029410000000211767,0.0,0,False
25,0.003635999999971773,0.0,0,False
26,0.0009499999999889042,0.0,0,False
27,0.0014079999999694337,0.0,0,False
28,0.003064999999992324,0.0,0,False
29,0.0010070000000155233,0.0,0,False
30,0.0039249999999810825,0.0,0,False
31,0.0028910000000337277,0.0,0,False
32,0.008738999999991393,0.0,0,False
33,0.0033849999999802094,0.0,0,False
34,0.0022720000000049367,0.0,0,False
35,0.015732000000014068,0.0,0,False
36,0.0036000000000058208,0.0,0,False
37,0.009330000000034033,0.0,0,False
38,0.005526000000031672,0.0,0,False
39,0.00547599999998738,0.0,0,False
40,0.0033359999999902357,0.0,0,False
41,0.0035879999999792744,0.0,0,False
42,0.006159000000025117,0.0,0,False
43,0.0016780000000267137,0.0,0,False
44,0.0015020000000163236,0.0,0,False
45,0.013820000000009713,0.0,0,False
46,0.0009469999999964784,0.0,0,False
47,0.0018559999999752108,0.0,0,False
48,0.0016630000000077416,0.0,0,False
49,0.005395999999961987,0.0,0,False
50,0.003548999999964053,0.0,0,False
51,0.0033700000000180808,0.0,0,False
52,0.0021570000000110667,0.0,0,False
53,0.015103000000010525,0.0,0,False
54,0.01287200000001576,0.0,0,False
55,0.0059100000000285036,0.0,0,False
56,0.0009660000000053515,0.0,0,False
57,0.007952999999986332,0.0,0,False
58,0.0038930000000050313,0.0,0,False
59,0.01727099999999382,0.0,0,False
60,0.00771300000002384,0.0,0,False
61,0.006029999999952906,0.0,0,False
62,0.004261000000042259,0.0,0,False
63,0.003474999999980355,0.0,0,False
64,0.005113999999991847,0.0,0,False
65,0.0011079999999878964,0.0,0,False
66,0.001939000000049873,0.0,0,False
67,0.0022799999999847387,0.0,0,False
68,0.007959000000028027,0.0,0,False
69,0.0037510000000224863,0.0,0,False
70,0.0020339999999805514,0.0,0,False
71,0.003673999999989519,0.0,0,False
72,0.00199499999996533,0.0,0,False
73,0.00429500000001326,0.0,0,False
74,0.0012659999999868887,0.0,0,False
75,0.0062360000000012406,0.0,0,False
76,0.009132999999962976,0.0,0,False
77,0.005958999999961634,0.0,0,False
78,0.0039920000000392974,0.0,0,False
79,0.0026450000000295404,0.0,0,False
80,0.014558999999962907,0.0,0,False
81,0.003003999999975804,0.0,0,False
82,0.0031480000000101427,0.0,0,False
83,0.00736299999999801,0.0,0,False
84,0.002287000000023909,0.0,0,False
85,0.0035110000000031505,0.0,0,False
86,0.0017330000000015389,0.0,0,False
87,0.00530900000001111,0.0,0,False
88,0.0014309999999682077,0.0,0,False
89,0.011257000000000517,0.0,0,False
90,0.004230000000006839,0.0,0,False
91,0.0017180000000394102,0.0,0,False
92,0.012278999999978168,0.0,0,False
93,0.012092999999993026,0.0,0,False
94,0.005786000000000513,0.0,0,False
95,0.004004000000009,0.0,0,False
96,0.009962000000030002,0.0,0,False
97,0.0036460000000033688,0.0,0,False
98,0.010122999999964577,0.0,0,False
99,0.0015889999999672,0.0,0,False
100,0.02808799999996836,0.0,0,False
101,0.0015669999999659012,0.0,0,False
102,0.015170000000011896,0.0,0,False
103,0.013869999999997162,0.0,0,False
104,0.004689000000041688,0.0,0,False
105,0.0011049999999954707,0.0,0,False
106,0.010249999999984993,0.0,0,False
107,0.005676999999991494,0.0,0,False
108,0.00290100000000848,0.0,0,False
109,0.007339999999999236,0.0,0,False
110,0.002831000000014683,0.0,0,False
111,0.018929000000014184,0.0,0,False
112,0.012456999999983509,0.0,0,False
113,0.0017920000000231084,0.0,0,False
114,0.003638000000023567,0.0,0,False
115,0.007902999999998883,0.0,0,False
116,0.014849999999967167,0.0,0,False
117,0.005575000000021646,0.0,0,False
118,0.011143000000004122,0.0,0,False
119,0.019846000000029562,0.0,0,False
120,0.007182000000000244,0.0,0,False
121,0.001561999999978525,0.0,0,False
122,0.017530000000022028,0.0,0,False
123,0.0017560000000003129,0.0,0,False
124,0.005951000000038675,0.0,0,False
125,0.0028330000000096334,0.0,0,False
126,0.011356000000034783,0.0,0,False
127,0.00753700000001345,0.0,0,False
128,0.024770999999986998,0.0,0,False
129,0.010431999999980235,0.0,0,False
130,0.006987999999978456,0.0,0,False
131,0.010061000000007425,0.0,0,False
132,0.0009859999999548563,0.0,0,False
133,0.016224000000022443,0.0,0,False
134,0.0028830000000539258,0.0,0,False
135,0.021333000000026914,0.0,0,False
136,0.008965999999986707,0.0,0,False
137,0.008239000000003216,0.0,0,False
138,0.0036670000000071923,0.0,0,False
139,0.00394299999999248,0.0,0,False
140,0.01565699999997605,0.0,0,False
141,0.02875099999999975,0.0,0,False
142,0.021039000000030228,0.0,0,False
143,0.023630000000025575,0.0,0,False
144,0.001856999999972686,0.0,0,False
145,0.013615000000015698,0.0,0,False
146,0.007403000000010707,0.0,0,False
147,0.019915999999966516,0.0,0,False
148,0.012781000000018139,0.0,0,False
149,0.01168000000001257,0.0,0,False
150,0.006703000000015891,0.0,0,False
151,0.007932999999979984,0.0,0,False
152,0.004514999999969405,0.0,0,False
153,0.016226999999958025,0.0,0,False
154,0.015130999999996675,0.0,0,False
155,0.005655999999987671,0.0,0,False
156,0.028688999999985754,0.0,0,False
157,0.023072999999953936,0.0,0,False
158,0.0026189999999814972,0.0,0,False
159,0.01701900000000478,0.0,0,False
160,0.003489999999999327,0.0,0,False
161,0.02838000000002694,0.0,0,False
162,0.02147399999995514,0.0,0,False
163,0.00847100000004275,0.0,0,False
164,0.023604999999975007,0.0,0,False
165,0.010480000000029577,0.0,0,False
166,0.011489999999980682,0.0,0,False
167,0.017056999999965683,0.0,0,False
168,0.010108999999999924,0.0,0,False
169,0.017898000000002412,0.0,0,False
170,0.006942000000037751,0.0,0,False
171,0.002368999999987409,0.0,0,False
172,0.028361000000018066,0.0,0,False
173,0.022450999999989563,0.0,0,False
174,0.001105999999992946,0.0,0,False
175,0.029312000000004446,0.0,0,False
176,0.0029410000000211767,0.0,0,False
177,0.028190999999992528,0.0,0,False
178,0.020751999999959025,0.0,0,False
179,0.02802800000000616,0.0,0,False
180,0.026410999999995965,0.0,0,False
181,0.014650000000017371,0.0,0,False
182,0.003735000000006039,0.0,0,False
183,0.02763199999998278,0.0,0,False
184,0.028660999999999603,0.0,0,False
185,0.008910999999955038,0.0,0,False
186,0.016682000000002972,0.0,0,False
187,0.028920999999968444,0.0,0,False
188,0.014653000000009797,0.0,0,False
189,0.013238000000001193,0.0,0,False
190,0.01877099999995835,0.0,0,False
191,0.031423999999958596,0.0,0,False
192,0.02903299999996989,0.0,0,False
193,0.028869000000042888,0.0,0,False
194,0.023664999999994052,0.0,0,False
195,0.02006499999998823,0.0,0,False
196,0.02872899999999845,0.0,0,False
197,0.028246999999964828,0.0,0,False
198,0.0025279999999838765,0.0,0,False
199,0.029326999999966574,0.0,0,False
200,0.002215999999975793,0.0,0,True
