params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.385929000000004,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.451898,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.267238999999989,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.668117999999993,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.544309999999996,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.729747999999972,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.535431000000017,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.52648099999999,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.364147000000003,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.591957999999977,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",4.157412000000022,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.8358499999999935,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",4.107555999999988,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.69056599999999,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.399475999999993,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",4.100579000000039,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.765107999999998,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",4.12123600000001,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",4.179166000000009,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.773850999999979,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.877691000000027,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.0214489999999614,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.9897940000000176,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.2341030000000046,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.9810360000000173,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.0341059999999516,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.082885000000033,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.0821710000000166,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.7597280000000524,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",1.783770000000004,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",1.4126489999999876,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.4162660000000074,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.4845109999999977,100,0.0003448275862068965,0.0,0.0,0.034482758620689655,0.00343099116243662
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.4162900000000036,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.612957999999992,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.3461730000000216,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.4664880000000267,100,0.00037037037037037035,0.0,0.0,0.037037037037037035,0.0036851386559504456
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.5217309999999884,100,0.0003125,0.0,0.0,0.03125,0.003109335740958187
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.6690929999999753,100,0.0010833065308675064,0.0,0.0,0.025,0.004248112793366979
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.321878999999967,100,0.0005092592592592592,0.0,0.0,0.041666666666666664,0.004237818417331211
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",1.6072600000000534,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.526335999999958,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.6286740000000464,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.6476839999999697,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.5898039999999583,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.832764999999995,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.6199609999999893,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.599626999999998,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",2.66959700000001,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",1.6180630000000065,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",1.5086120000000278,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.76961,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.565804999999955,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.5272050000000377,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.6160829999999464,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.514471999999955,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.678999000000033,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",2.533491999999967,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": ""random"", ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.5}",3.821206000000018,100,0.005635181236070807,0.0,0.0,0.04,0.010298267177836476
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.309721000000025,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.0308109999999715,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.298729000000037,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.493438999999967,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.223535000000027,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.257607000000007,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.010311999999999,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.442483999999979,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.111521000000039,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.535071999999957,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.8499649999999974,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.6330239999999776,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.974896000000001,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.5, ""q_init"": 0, ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",4.024428999999998,100,0.0,0.0,0.0,0.0,0.0
