episode,length,time,reward,delta
0,37.0,0.002474999999890315,0.0,-0.000165345235602685
1,31.0,0.001928000000020802,0.0,-0.0005420423957045729
2,29.0,0.0016759999999749198,0.0,0.00031521367436914403
3,33.0,0.0019929999999703796,0.0,3.15213674369144e-05
4,9.0,0.0005570000000716391,0.0,-5.161475083212001e-05
5,10.0,0.0006069999999454012,0.0,-0.00010313422986431156
6,41.0,0.002736000000027161,0.0,-1.6534523560268505e-05
7,22.0,0.0017299999999522697,0.0,9.884612160815316e-05
8,6.0,0.00045099999999820284,0.0,-0.00014316574901779516
9,7.0,0.0004519999999956781,0.0,0.00013873378627683096
10,58.0,0.003908000000024003,0.0,7.722936319193882e-06
11,47.0,0.003294999999980064,0.0,0.00026553790075102313
12,15.0,0.0009129999999686333,0.0,6.046320807426503e-05
13,26.0,0.0015670000000227446,0.0,1.3873378627683101e-05
14,29.0,0.0018599999999651118,0.0,-1.6534523560268288e-06
15,31.0,0.001916000000051099,0.0,0.00020851468105322443
16,7.0,0.0006449999999631473,0.0,3.649268754237861e-05
17,41.0,0.002782000000024709,0.0,7.193254182282053e-05
18,28.0,0.0016530000000329892,0.0,0.0003543679050999163
19,24.0,0.0014790000000175496,0.0,4.026955229910164e-05
20,34.0,0.0019499999999652573,0.0,-0.00020689850936230023
21,25.0,0.0015609999999242063,0.0,3.543679050999158e-05
22,32.0,0.002071000000000822,0.0,0.0001394487987091203
23,15.0,0.0009630000000697692,0.0,0.0006686068594019088
24,38.0,0.0024399999999786814,0.0,-0.00043935596448118003
25,8.0,0.0005509999999731008,0.0,0.00022506777786510985
26,52.0,0.0030970000000252185,0.0,0.00020256025666414378
27,36.0,0.002116000000000895,0.0,6.332727326024393e-05
28,29.0,0.0019079999999576103,0.0,-7.248396607976987e-05
29,4.0,0.0003329999999550637,0.0,0.00017509114823137243
30,30.0,0.002152999999907479,0.0,6.638257182533722e-05
31,62.0,0.0036329999999225038,0.0,1.3873378627682993e-06
32,9.0,0.0007109999999102001,0.0,4.026955229910164e-06
33,100.0,0.00619399999993675,0.0,0.00017997990371968755
34,16.0,0.0009690000000546206,0.0,2.250677778651097e-05
35,30.0,0.0018670000000611253,0.0,1.7997990371968744e-05
36,17.0,0.0012400000000525324,0.0,0.00011533855353002904
37,17.0,0.0010660000000370928,0.0,-0.0001110530947850031
38,46.0,0.0028130000000601285,0.0,1.799799037196896e-06
39,42.0,0.0028260000000273067,0.0,-0.00030734874860863367
40,9.0,0.0006220000000212167,0.0,1.799799037196896e-07
41,14.0,0.0008670000000847722,0.0,0.00011148164065950572
42,11.0,0.000781999999958316,0.0,-0.0003459819259635465
43,33.0,0.0018910000000005311,0.0,1.3777542680240237e-05
44,29.0,0.002165999999988344,0.0,-0.00012136897408414284
45,76.0,0.0045610000000806394,0.0,8.527148389811178e-05
46,28.0,0.0019730000000208747,0.0,0.0002160908391359581
47,34.0,0.0021090000000185682,0.0,-3.073487486086337e-05
48,16.0,0.0009860000000116997,0.0,0.0002354521250176013
49,24.0,0.002066000000013446,0.0,1.11481640659506e-05
50,14.0,0.001025000000026921,0.0,-0.00012147213373141095
51,18.0,0.001086999999984073,0.0,-0.00015291162739233366
52,20.0,0.0013689999999542124,0.0,0.00022709305177541508
53,24.0,0.001422000000047774,0.0,0.00011043973676486493
54,11.0,0.0007180000000062137,0.0,0.00017969179823093225
55,58.0,0.004873000000088723,0.0,0.0002939749939273956
56,11.0,0.000983000000019274,0.0,0.00022582637860796268
57,28.0,0.0016590000000178406,0.0,1.7969179823093214e-05
58,20.0,0.001205000000027212,0.0,-1.2136897408414284e-05
