episode,length,time,reward,delta
0,9.0,0.000757000000021435,0.0,-0.00038556123710433105
1,23.0,0.0012490000000298096,0.0,-0.0006545395003995393
2,23.0,0.0014210000000502987,0.0,-0.00018628402492596125
3,44.0,0.002451000000064596,0.0,-0.00034700511339389795
4,96.0,0.005348000000026332,0.0,-0.00033809472972327176
5,32.0,0.0016870000000608343,0.0,-0.00031230460205450815
6,15.0,0.0008889999999155407,0.0,-0.00022270274679011843
7,34.0,0.0018639999999550128,0.0,0.0004516970541340069
8,18.0,0.0009800000000268483,0.0,-0.00024521300834468625
9,47.0,0.0025439999999434804,0.0,-0.00022835948186974476
10,9.0,0.0005709999999226056,0.0,-0.00020552353368277028
11,21.0,0.0014099999999643842,0.0,-9.284816787080133e-05
12,25.0,0.0013310000000501532,0.0,-0.0006006979887111071
13,18.0,0.0009820000000217988,0.0,-0.000124428993274436
14,97.0,0.00537500000007185,0.0,-0.00016960739532804873
15,26.0,0.0013880000000199288,0.0,-8.356335108372116e-05
16,25.0,0.0013319999999339416,0.0,-0.00023857419721319876
17,29.0,0.0018910000000005311,0.0,-7.520701597534907e-05
18,69.0,0.003906000000029053,0.0,-0.00030262840824587053
19,10.0,0.0006100000000515138,0.0,-6.512329458742503e-05
20,62.0,0.003500000000030923,0.0,-0.0005378623294203398
21,44.0,0.0025120000000242726,0.0,-9.208991151597344e-05
22,15.0,0.0009770000000344226,0.0,-0.00022069170751021759
23,6.0,0.00043099999993501115,0.0,-0.00021471677749187892
24,32.0,0.0019459999999753563,0.0,-3.6325884710911114e-05
25,32.0,0.001878000000033353,0.0,-0.0004464069418184276
26,14.0,0.000816000000099848,0.0,-0.00011798227990731584
27,47.0,0.0027000000000043656,0.0,-0.0006125459085721687
28,10.0,0.0006090000000540385,0.0,-2.3269949920244322e-05
29,22.0,0.001400999999987107,0.0,-1.6801467544790146e-05
30,27.0,0.0015069999999468564,0.0,-0.0002621921180627147
31,19.0,0.0010220000000344953,0.0,-8.28809203643761e-05
32,64.0,0.0036069999999881475,0.0,-0.00022529727719337883
33,12.0,0.0006759999999985666,0.0,2.3868062415857607e-05
34,16.0,0.000895000000014079,0.0,-7.446214017989598e-05
35,12.0,0.0006819999999834181,0.0,-0.00015409162527218155
36,6.0,0.00037099999997280975,0.0,-0.00015041242595796806
37,34.0,0.001816000000076201,0.0,-0.00013868246274496344
38,26.0,0.0014230000000452492,0.0,2.7578903651266065e-05
39,89.0,0.004710000000045511,0.0,-0.00010618405191658426
40,45.0,0.002456000000051972,0.0,2.4821013286139453e-05
41,6.0,0.00048500000002604793,0.0,2.2338911957525502e-05
42,8.0,0.0005160000000614673,0.0,2.7808196052850538e-05
43,33.0,0.0017650000000912769,0.0,-0.0004546118764086061
44,74.0,0.0040840000000343935,0.0,-0.0002677731460793051
45,62.0,0.0033900000000812724,0.0,-0.000302141888674017
46,13.0,0.0007299999999759166,0.0,-9.556564672492582e-05
47,7.0,0.0004209999999602587,0.0,4.832725077855008e-05
48,17.0,0.0009310000000368746,0.0,0.00023026592923751574
49,111.0,0.0066809999999577485,0.0,-0.00030975172735972197
50,63.0,0.0038299999999935608,0.0,-4.33320854427619e-05
51,25.0,0.0014229999999315623,0.0,4.3494525700695094e-05
52,15.0,0.0009860000000116997,0.0,-2.113922579170417e-05
53,60.0,0.0034689999999955035,0.0,-8.600908205243327e-05
54,8.0,0.000565000000051441,0.0,8.867430981482675e-06
55,29.0,0.0017030000000204382,0.0,-0.00029230163205484663
