step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.03125,0.001488095238095238,0.0,0.006654964218749374,0.03125,0.0
21,0.0,0.0014204545454545455,0.0,0.006509340475789546,0.03125,0.0
22,0.0,0.001358695652173913,0.0,0.006372847499760095,0.03125,0.0
23,0.0,0.0013020833333333333,0.0,0.006244572295980104,0.03125,0.0
24,0.0,0.00125,0.0,0.0061237243569579455,0.03125,0.0
25,0.0,0.001201923076923077,0.0,0.006009615384615384,0.03125,0.0
26,0.0,0.0011574074074074073,0.0,0.005901642955547204,0.03125,0.0
27,0.0,0.0011160714285714285,0.0,0.005799277257485081,0.03125,0.0
28,0.0,0.0010775862068965517,0.0,0.005702050239363343,0.03125,0.0
29,0.0,0.0010416666666666667,0.0,0.005609546674098441,0.03125,0.0
30,0.0,0.0010080645161290322,0.0,0.005521396749044015,0.03125,0.0
31,0.0,0.0009765625,0.0,0.005437269885576193,0.03125,0.0
32,0.0,0.000946969696969697,0.0,0.0053568695544435425,0.03125,0.0
33,0.0,0.0009191176470588235,0.0,0.005279928903068041,0.03125,0.0
34,0.0,0.0008928571428571428,0.0,0.005206207048969019,0.03125,0.0
35,0.0,0.0008680555555555555,0.0,0.005135485922829527,0.03125,0.0
36,0.0,0.0008445945945945946,0.0,0.005067567567567568,0.03125,0.0
37,0.0,0.0008223684210526315,0.0,0.005002271817679458,0.03125,0.0
38,0.0,0.0008012820512820513,0.0,0.004939434297250783,0.03125,0.0
39,0.0,0.00078125,0.0,0.004878904686248749,0.03125,0.0
40,0.0,0.0007621951219512195,0.0,0.00482054521367131,0.03125,0.0
41,0.0,0.000744047619047619,0.0,0.004764229343328012,0.03125,0.0
42,0.0,0.0007267441860465116,0.0,0.004709840623842922,0.03125,0.0
43,0.0,0.0007102272727272727,0.0,0.004657271679191762,0.03125,0.0
44,0.0,0.0006944444444444445,0.0,0.004606423319938055,0.03125,0.0
45,0.0,0.0006793478260869565,0.0,0.004557203758491418,0.03125,0.0
46,0.0,0.0006648936170212766,0.0,0.004509527914312013,0.03125,0.0
47,0.0,0.0006510416666666666,0.0,0.004463316797136097,0.03125,0.0
48,0.0,0.0006377551020408163,0.0,0.00441849695808387,0.03125,0.0
49,0.0,0.000625,0.0,0.0043749999999999995,0.03125,0.0
50,0.0,0.0006127450980392157,0.0,0.004332762139623453,0.03125,0.0
51,0.0,0.0006009615384615385,0.0,0.004291723815230079,0.03125,0.0
52,0.0,0.0005896226415094339,0.0,0.004251829334273572,0.03125,0.0
53,0.0,0.0005787037037037037,0.0,0.004213026556296596,0.03125,0.0
54,0.0,0.0005681818181818182,0.0,0.004175266607016781,0.03125,0.0
55,0.0,0.0005580357142857143,0.0,0.004138503620031062,0.03125,0.0
56,0.0,0.0005482456140350877,0.0,0.004102694503041602,0.03125,0.0
57,0.0,0.0005387931034482759,0.0,0.004067798725900188,0.03125,0.0
58,0.0,0.0005296610169491525,0.0,0.004033778128105884,0.03125,0.0
59,0.0,0.0005208333333333333,0.0,0.004000596743681567,0.03125,0.0
60,0.0,0.0005122950819672131,0.0,0.003968220641605961,0.03125,0.0
61,0.0,0.0005040322580645161,0.0,0.003936617780194888,0.03125,0.0
62,0.0,0.000496031746031746,0.0,0.003905757874013795,0.03125,0.0
63,0.0,0.00048828125,0.0,0.0038756122720672716,0.03125,0.0
64,0.0,0.0004807692307692308,0.0,0.0038461538461538464,0.03125,0.0
65,0.0,0.0004734848484848485,0.0,0.003817356888398934,0.03125,0.0
66,0.0,0.0004664179104477612,0.0,0.003789197017087667,0.03125,0.0
67,0.0,0.00045955882352941176,0.0,0.003761651090014914,0.03125,0.0
68,0.0,0.0004528985507246377,0.0,0.003734697124653677,0.03125,0.0
69,0.0,0.0004464285714285714,0.0,0.003708314224516998,0.03125,0.0
70,0.0,0.00044014084507042255,0.0,0.003682482511153501,0.03125,0.0
71,0.0,0.00043402777777777775,0.0,0.003657183061274462,0.03125,0.0
