episode,length,time,reward,delta
0,15.0,0.0009299999999825559,0.0,-0.00014171134907222467
1,35.0,0.001943000000039774,0.0,-0.00019812025882069804
2,31.0,0.0016709999999875436,0.0,-0.00011469575328716545
3,26.0,0.0014039999999795327,0.0,-7.085567453611228e-05
4,36.0,0.0020020000000045,0.0,-7.549205971701966e-06
5,23.0,0.0012509999999679167,0.0,-0.0002812231488580841
6,37.0,0.002892000000031203,0.0,-0.0001605615558464054
7,39.0,0.002256000000045333,0.0,-0.0001779890253421453
8,33.0,0.0018059999999877618,0.0,0.00047755006158759015
9,6.0,0.0003749999999627107,0.0,-0.00023280645001506558
10,18.0,0.000998999999978878,0.0,-0.0002517132451061063
11,21.0,0.0011499999999955435,0.0,-0.0002459110289946587
12,74.0,0.003981000000010226,0.0,1.2610619063181607e-05
13,38.0,0.0024119999999925312,0.0,-0.00010520261716898517
14,10.0,0.0008710000000178297,0.0,0.00015721796254680406
15,36.0,0.0029719999999997526,0.0,6.3053095315908575e-06
16,17.0,0.001446999999984655,0.0,3.152654765795483e-06
17,34.0,0.0018589999999676365,0.0,2.080902735320466e-05
18,29.0,0.0015819999999848733,0.0,-0.0001258566225530532
19,14.0,0.0007929999999873871,0.0,0.00014863107653966033
20,14.0,0.0008270000000152322,0.0,0.0001050840293199722
21,33.0,0.0017579999999952634,0.0,0.000129999283943617
22,8.0,0.0005509999999731008,0.0,7.431553826983017e-05
23,35.0,0.0028020000000310574,0.0,0.00023097147826719945
24,24.0,0.0015840000000366672,0.0,0.00013119244042382233
25,25.0,0.001377999999988333,0.0,6.559622021191111e-05
26,16.0,0.0009000000000014552,0.0,3.279811010595561e-05
27,15.0,0.0008809999999925822,0.0,-1.2018031938337533e-06
28,14.0,0.0007820000000151595,0.0,0.0001719864952926835
29,22.0,0.0011930000000006658,0.0,-5.260130858449259e-05
30,17.0,0.0009529999999813299,0.0,5.2542014659986156e-05
31,82.0,0.004508999999984553,0.0,0.0001899515445433948
32,11.0,0.0008660000000304535,0.0,1.639905505297775e-05
33,11.0,0.0009509999999863794,0.0,-6.009015969169309e-07
34,10.0,0.0007709999999860884,0.0,1.5763273828976873e-06
35,5.0,0.0003240000000346299,0.0,9.49757722716974e-05
36,7.0,0.00042400000000952787,0.0,4.74878861358487e-05
37,23.0,0.0012500000000272848,0.0,2.3743943067924323e-05
38,15.0,0.0009039999999913562,0.0,1.1871971533962216e-05
39,14.0,0.0007839999999532665,0.0,0.0001176153948079898
40,32.0,0.0017139999999926658,0.0,0.0001334850918989468
41,6.0,0.00037300000002460365,0.0,0.00034246423439828063
42,62.0,0.0034600000000182263,0.0,6.67425459494734e-05
43,30.0,0.0018230000000016844,0.0,-4.322972895758677e-05
44,25.0,0.0018359999999688625,0.0,3.33712729747367e-05
45,9.0,0.0005509999999731008,0.0,0.00021165624275046346
46,86.0,0.004709999999988668,0.0,0.0002123772689152395
47,7.0,0.0004230000000120526,0.0,2.6271007329993078e-05
48,14.0,0.0007880000000000109,0.0,0.00016776280424908086
49,9.0,0.0005249999999819011,0.0,0.0002205581305142151
50,23.0,0.0012489999999729662,0.0,1.3135503664996485e-05
51,11.0,0.0006289999999467,0.0,2.5112111117879207e-05
52,15.0,0.0008339999999975589,0.0,0.00023908232842807505
53,16.0,0.0008830000000443761,0.0,0.000239445303939214
54,6.0,0.0004359999999792308,0.0,0.00013514800775249187
55,8.0,0.0005580000000122709,0.0,0.00015742905883902095
56,6.0,0.0005199999999945248,0.0,-8.918886835503938e-05
57,20.0,0.001515999999980977,0.0,1.2556055558939658e-05
58,15.0,0.0010889999999790234,0.0,7.871452941951047e-05
59,42.0,0.002276999999992313,0.0,0.00018178040269992049
60,11.0,0.0006940000000099644,0.0,6.2780277794697746e-06
61,9.0,0.0005279999999743268,0.0,0.00022745921240601547
62,26.0,0.0013959999999997308,0.0,0.00011216843805376563
63,20.0,0.0010849999999891224,0.0,7.972088919479248e-05
64,7.0,0.00042400000000952787,0.0,0.00012050728321097432
65,27.0,0.0014560000000187756,0.0,6.0253641605487185e-05
66,6.0,0.0003699999999753345,0.0,0.0003062154079339134
67,10.0,0.0005770000000211439,0.0,-0.00010067865320440245
68,13.0,0.0008940000000166037,0.0,-0.00012817107540375025
69,8.0,0.0006169999999769971,0.0,3.0126820802743592e-05
70,54.0,0.0035330000000044492,0.0,0.00030050051680460436
71,8.0,0.0004799999999818283,0.0,0.0002108803044921253
72,17.0,0.000933000000031825,0.0,-1.3919028102002103e-05
73,10.0,0.0005750000000261934,0.0,-6.9595140510010515e-06
74,28.0,0.0014980000000264226,0.0,0.00023172051260436356
