episode,length,time,reward,delta
0,500.0,0.02711300000009942,-2382.0,-0.81
1,153.0,0.008405000000038854,-647.0,100.0
2,500.0,0.028337000000192347,-2283.0,-0.43351874334919205
3,134.0,0.007680000000164,-628.0,90.0
4,412.0,0.023632999999790627,-1401.0,81.0
5,232.0,0.013175999999930355,-627.0,72.9
6,223.0,0.012646000000131608,-717.0,65.61
7,46.0,0.0024830000002111774,-144.0,59.049
8,500.0,0.02677799999992203,-2679.0,-0.1093000751211548
9,108.0,0.005757999999786989,-206.0,53.1441
10,41.0,0.002419999999801803,-40.0,47.82969
11,58.0,0.0031669999998484855,42.0,43.046721
12,78.0,0.004360000000360742,-275.0,38.7420489
13,308.0,0.016705999999885535,-901.0,34.86784401
14,210.0,0.011475999999674968,-1100.0,31.381059609000005
15,25.0,0.0015239999997902487,75.0,28.2429536481
16,57.0,0.003384000000096421,43.0,25.41865828329
17,110.0,0.006504999999833672,-406.0,22.876792454961006
18,30.0,0.001809000000321248,70.0,20.589113209464898
19,51.0,0.003038000000287866,-149.0,18.530201888518405
20,50.0,0.0029199999999036663,-49.0,16.677181699666562
21,41.0,0.002383999999892694,59.0,15.0094635296999
22,39.0,0.0023629999996046536,61.0,13.50851717672991
23,81.0,0.004434999999830325,-179.0,12.157665459056915
24,41.0,0.0022269999999480206,59.0,10.94189891315122
25,44.0,0.0024510000002919696,-43.0,9.847709021836096
26,61.0,0.0034700000001066655,39.0,8.862938119652483
27,57.0,0.0031750000002830348,43.0,7.976644307687238
28,36.0,0.001975000000129512,64.0,7.178979876918518
29,41.0,0.0022939999998925487,59.0,6.461081889226662
30,41.0,0.0022470000003522728,59.0,5.8149737003039945
31,87.0,0.0049840000001495355,-185.0,5.233476330273589
32,25.0,0.0014000000001033186,75.0,4.710128697246233
33,27.0,0.0014670000000478467,-125.0,4.239115827521616
34,32.0,0.001768999999967491,-31.0,3.815204244769461
35,33.0,0.001979000000119413,67.0,3.433683820292515
36,67.0,0.003669000000172673,-165.0,3.0903154382632607
37,43.0,0.0023400000000037835,57.0,2.781283894436939
38,23.0,0.0013149999999768625,77.0,2.503155504993245
39,19.0,0.0015459999999620777,81.0,2.252839954493922
40,41.0,0.0023909999999887077,-40.0,2.027555959044534
41,17.0,0.0009499999996478437,83.0,1.8248003631400849
42,71.0,0.004059999999753927,-70.0,1.6423203268260806
43,42.0,0.002243000000362372,-140.0,1.4780882941434754
44,35.0,0.0018769999996948172,65.0,1.3302794647291307
45,27.0,0.0017239999997400446,73.0,1.1972515182562233
46,45.0,0.0023869999999988067,55.0,1.0775263664306038
47,52.0,0.002801999999974214,-150.0,0.9697737297875477
48,30.0,0.0017480000001341978,-29.0,0.8727963568087915
49,37.0,0.00198099999988699,63.0,0.7855167211279195
50,37.0,0.002019999999902211,63.0,0.7069650490151247
51,19.0,0.0010579999998299172,81.0,0.6362685441136193
52,23.0,0.0016830000004119938,77.0,0.5726416897022517
53,23.0,0.0015359999997599516,-22.0,0.5153775207320308
54,64.0,0.0036460000001170556,-261.0,0.46383976865882914
55,92.0,0.005298999999922671,-388.0,0.41745579179294623
56,47.0,0.0026939999997921404,-46.0,0.37571021261365445
57,54.0,0.003271000000040658,-152.0,0.3381391913522833
58,38.0,0.0021339999998417625,-37.0,0.3043252722170564
59,14.0,0.0008780000002843735,86.0,0.27389274499535077
60,26.0,0.001596999999947002,74.0,0.24650347049581
61,39.0,0.002445999999963533,-137.0,0.22185312344622332
62,44.0,0.0025120000000242726,-43.0,0.19966781110160525
63,32.0,0.0018420000001242443,-31.0,0.179701029991449
64,22.0,0.0012900000001536682,78.0,0.1617309269923055
65,49.0,0.0030289999999695283,-147.0,0.14555783429307212
66,23.0,0.0013729999996030529,77.0,0.1310020508637706
67,20.0,0.0011580000000321888,80.0,0.11790184577739637
68,67.0,0.003919000000223605,-165.0,0.10611166119966242
69,16.0,0.0009820000000217988,84.0,0.0955004950796905
70,22.0,0.0013189999999667634,-21.0,0.08595044557172571
