episode,length,time,reward,delta
0,165.0,0.00941000000011627,-164.0,100.0
1,277.0,0.01575200000024779,-870.0,50.0
2,339.0,0.01943200000005163,-833.0,25.0
3,63.0,0.0035020000000258733,37.0,12.5
4,74.0,0.004280999999991764,26.0,6.25
5,149.0,0.008554000000003725,-346.0,3.125
6,50.0,0.002955999999812775,50.0,1.5625
7,30.0,0.0017039999997905397,70.0,0.78125
8,32.0,0.0018469999999979336,68.0,0.390625
9,71.0,0.0038739999999961583,-70.0,0.1953125
10,27.0,0.0015120000002752931,73.0,0.09765625
11,14.0,0.0008189999998649,86.0,0.048828125
12,66.0,0.0036039999999957217,-65.0,0.0244140625
13,45.0,0.0024090000001706358,-44.0,0.01220703125
14,16.0,0.000931999999920663,84.0,0.006103515625
15,42.0,0.0022549999998773274,58.0,0.0030517578125
16,24.0,0.0013030000000071595,76.0,0.00152587890625
17,30.0,0.0016699999996490078,70.0,0.000762939453125
18,14.0,0.0008499999999003194,86.0,0.0003814697265625
19,21.0,0.0011490000001685985,79.0,0.00019073486328125
20,24.0,0.00146199999971941,-23.0,9.5367431640625e-05
21,31.0,0.001878000000033353,-30.0,4.76837158203125e-05
22,13.0,0.0008130000001074222,87.0,2.384185791015625e-05
23,24.0,0.001441000000340864,-23.0,1.1920928955078125e-05
24,16.0,0.0009900000000016007,84.0,5.9604644775390625e-06
25,24.0,0.0014360000000124273,-23.0,2.9802322387695312e-06
26,12.0,0.000739999999950669,88.0,1.4901161193847656e-06
27,12.0,0.0007390000000668806,88.0,7.450580596923828e-07
28,12.0,0.0007390000000668806,88.0,3.725290298461914e-07
29,27.0,0.0015659999999115826,-125.0,1.862645149230957e-07
30,18.0,0.0010929999998552375,82.0,9.313225746154785e-08
31,14.0,0.0008460000003651658,86.0,4.6566128730773926e-08
32,12.0,0.0007990000003701425,88.0,2.3283064365386963e-08
33,12.0,0.0007340000001931912,88.0,1.1641532182693481e-08
34,13.0,0.0007879999998294807,-12.0,5.820766091346741e-09
35,12.0,0.000735999999960768,88.0,2.9103830456733704e-09
36,14.0,0.000867000000198459,86.0,1.4551915228366852e-09
37,12.0,0.0007390000000668806,88.0,7.275957614183426e-10
38,12.0,0.0007330000003094028,88.0,3.637978807091713e-10
39,13.0,0.0007860000000619038,-12.0,1.8189894035458565e-10
40,22.0,0.0013030000000071595,-21.0,9.094947017729282e-11
41,12.0,0.0007329999998546555,88.0,4.547473508864641e-11
42,23.0,0.0013779999999314896,-22.0,2.2737367544323206e-11
43,12.0,0.0007430000000567816,88.0,1.1368683772161603e-11
44,12.0,0.000735999999960768,88.0,5.6843418860808015e-12
45,16.0,0.0009709999999358843,84.0,2.8421709430404007e-12
46,14.0,0.0008550000002287561,86.0,1.4210854715202004e-12
47,12.0,0.0007540000001426961,88.0,7.105427357601002e-13
48,12.0,0.0007509999995818362,88.0,3.552713678800501e-13
49,12.0,0.0006849999999758438,88.0,1.7053025658242404e-13
50,12.0,0.0007160000000112632,88.0,8.526512829121202e-14
51,12.0,0.0006849999999758438,88.0,4.263256414560601e-14
52,17.0,0.0009719999998196727,83.0,2.842170943040401e-14
53,12.0,0.0006800000001021544,88.0,1.4210854715202004e-14
54,23.0,0.0012600000000020373,-22.0,0.0
55,12.0,0.0006840000000920554,88.0,0.0
56,20.0,0.0010909999996329134,80.0,0.0
57,14.0,0.0007810000001882145,86.0,0.0
58,26.0,0.001400999999987107,-25.0,0.0
59,12.0,0.0006769999999960419,88.0,0.0
60,18.0,0.0010080000001835288,82.0,0.0
61,20.0,0.0010839999999916472,80.0,0.0
62,17.0,0.001040999999986525,83.0,0.0
63,12.0,0.0008259999999609136,88.0,0.0
64,12.0,0.0006789999997636187,88.0,0.0
65,23.0,0.0012520000000222353,-22.0,0.0
66,16.0,0.0008819999998195271,-15.0,0.0
67,17.0,0.0009370000002490997,-16.0,0.0
68,30.0,0.0016209999998864077,-128.0,0.0
69,13.0,0.0007740000000922009,87.0,0.0
70,21.0,0.0011469999999462743,-20.0,0.0
71,12.0,0.0006800000001021544,88.0,0.0
72,12.0,0.000679000000218366,88.0,0.0
73,18.0,0.001040999999986525,82.0,0.0
