steps,time,reward,delta,converged
1,0.007784000000015112,0.0,0,False
2,0.008523999999965781,0.0,0,False
3,0.0046780000000126165,0.0,0,False
4,0.005684999999971296,0.0,0,False
5,0.006620999999995547,0.0,0,False
6,0.005128000000013344,0.0,0,False
7,0.025989999999978863,0.0,0,False
8,0.009647999999970125,0.0,0,False
9,0.004939000000035776,0.0,0,False
10,0.008643000000006396,0.0,0,False
11,0.006521000000020649,0.0,0,False
12,0.007729000000040287,0.0,0,False
13,0.005094999999982974,0.0,0,False
14,0.0007620000000088112,0.0,0,False
15,0.005632999999988897,0.0,0,False
16,0.0077230000000554355,0.0,0,False
17,0.0210060000000567,0.0,0,False
18,0.00479999999993197,0.0,0,False
19,0.007005000000049222,0.0,0,False
20,0.0060880000000906875,0.0,0,False
21,0.002262999999970816,0.0,0,False
22,0.0056979999999384745,0.0,0,False
23,0.027435999999966043,0.0,0,False
24,0.007029999999986103,0.0,0,False
25,0.010924999999929241,0.0,0,False
26,0.005476999999928012,0.0,0,False
27,0.011935999999991509,0.0,0,False
28,0.004831999999964864,0.0,0,False
29,0.0123950000000832,0.0,0,False
30,0.010198000000059437,0.0,0,False
31,0.006346000000007734,0.0,0,False
32,0.004527000000052794,0.0,0,False
33,0.035178999999970983,0.0,0,False
34,0.01190899999994599,0.0,0,False
35,0.01942800000006173,0.0,0,False
36,0.005089999999995598,0.0,0,False
37,0.006388000000015381,0.0,0,False
38,0.005636999999978798,0.0,0,False
39,0.0023909999999887077,0.0,0,False
40,0.007698999999888656,0.0,0,False
41,0.017362000000048283,0.0,0,False
42,0.015173000000004322,0.0,0,False
43,0.013290999999981068,0.0,0,False
44,0.005015000000071268,0.0,0,False
45,0.0166189999999915,0.0,0,False
46,0.0017540000000053624,0.0,0,False
47,0.006637000000068838,0.0,0,False
48,0.0063669999999547144,0.0,0,False
49,0.009125999999923806,0.0,0,False
50,0.0023410000000012587,0.0,0,False
51,0.022141000000033273,0.0,0,False
52,0.005467000000066946,0.0,0,False
53,0.005448999999998705,0.0,0,False
54,0.01096800000004805,0.0,0,False
55,0.027337999999986096,0.0,0,False
56,0.020814999999970496,0.0,0,False
57,0.006326999999942018,0.0,0,False
