episode,length,time,reward,delta
0,42.0,0.00264300000003459,0.0,-0.0003630182114247098
1,24.0,0.0013219999999591892,0.0,-0.000767941481270759
2,5.0,0.000325999999972737,0.0,-0.00011909543464941142
3,14.0,0.0009029999999938809,0.0,-0.0008715006691561129
4,36.0,0.0020889999999553766,0.0,-0.00030527072818081004
5,40.0,0.0022609999999758656,0.0,-9.03044196576579e-05
6,18.0,0.0010029999999687789,0.0,-1.225169160636853e-05
7,23.0,0.0013040000000046348,0.0,-8.926917539329267e-06
8,13.0,0.0007420000000593063,0.0,-8.956789843129798e-06
9,41.0,0.0023779999999078427,0.0,-0.0006720972410447675
10,24.0,0.0013230000000703512,0.0,-0.00020170494314108856
11,86.0,0.00479500000005828,0.0,-8.926917539329263e-07
12,62.0,0.0033690000000206055,0.0,-0.0006660457232150323
13,33.0,0.0018310000000383297,0.0,-1.0177277430546927e-05
14,31.0,0.0016679999999951178,0.0,-8.956789843129801e-07
15,22.0,0.00128400000005513,0.0,-8.537202527080104e-07
16,15.0,0.00089900000000398,0.0,-1.1909543464941127e-07
17,15.0,0.000835999999935666,0.0,-8.956789843129803e-08
18,14.0,0.0007860000000619038,0.0,-8.926917539329257e-08
19,31.0,0.001724000000081105,0.0,-1.2251691606368524e-06
20,44.0,0.002513000000021748,0.0,-0.0009498310271092871
21,36.0,0.0019289999999045904,0.0,-1.0140086692806082e-05
22,27.0,0.0014620000000604705,0.0,-5.434338424862716e-05
23,25.0,0.0013610000000880973,0.0,-1.1909543464941125e-09
24,33.0,0.001774000000068554,0.0,-2.8616641406950778e-06
25,21.0,0.001155000000039763,0.0,-4.258211784396517e-06
26,61.0,0.003337999999985186,0.0,-0.000987242808720904
27,29.0,0.0016079999999192296,0.0,-0.00019882775995302314
28,43.0,0.002406000000064523,0.0,-8.537202527080089e-10
29,42.0,0.002299999999991087,0.0,-2.8616641406950778e-08
30,34.0,0.0018220000000610526,0.0,-1.1909543464941125e-10
31,104.0,0.005629999999996471,0.0,-8.715006691561107e-08
32,7.0,0.00042800000005627226,0.0,-9.257118998446203e-05
33,5.0,0.00040500000000065484,0.0,-1.1909543464941125e-12
34,23.0,0.001259000000004562,0.0,-9.030441965765773e-07
35,31.0,0.0016789999999673455,0.0,-1.017727743054692e-06
36,72.0,0.0038799999999810098,0.0,-8.926917539329248e-10
37,32.0,0.0017460000000255604,0.0,-2.8616641406950758e-09
38,41.0,0.0022529999999960637,0.0,-8.7150066915611e-10
39,27.0,0.0017119999999977153,0.0,-0.0003417167500455339
40,23.0,0.0012990000000172586,0.0,-3.0527072818080925e-10
41,28.0,0.001527000000010048,0.0,-9.030441965765771e-09
42,37.0,0.0020519999999351057,0.0,-6.660457232150318e-05
43,13.0,0.0008839999999281645,0.0,-2.508277967408401e-05
44,20.0,0.0011050000000523141,0.0,-1.256131669290163e-05
45,33.0,0.0017790000000559303,0.0,-1.1909543464941109e-14
46,25.0,0.0013569999999845095,0.0,-4.2582117843965136e-07
47,26.0,0.0014179999999441861,0.0,-2.8616641406950733e-10
