steps,time,reward,delta,converged
1,0.0012120000000095388,0.0,0,False
2,0.0023729999999204665,0.0,0,False
3,0.004735999999979867,0.0,0,False
4,0.0028340000000071086,0.0,0,False
5,0.001722999999969943,0.0,0,False
6,0.002179000000069209,0.0,0,False
7,0.001104000000054839,0.0,0,False
8,0.0022620000000870277,0.0,0,False
9,0.004472000000077969,0.0,0,False
10,0.005547999999976128,0.0,0,False
11,0.004773000000000138,0.0,0,False
12,0.0015130000000453947,0.0,0,False
13,0.0026829999999335996,0.0,0,False
14,0.000998999999978878,0.0,0,False
15,0.0030679999999847496,0.0,0,False
16,0.009937000000036278,0.0,0,False
17,0.009438000000045577,0.0,0,False
18,0.004013999999983753,0.0,0,False
19,0.0033690000000206055,0.0,0,False
20,0.0006300000000010186,0.0,0,False
21,0.007285000000024411,0.0,0,False
22,0.0043520000000398795,0.0,0,False
23,0.010560999999938758,0.0,0,False
24,0.0019020000000864457,0.0,0,False
25,0.0009260000000494983,0.0,0,False
26,0.00973599999997532,0.0,0,False
27,0.0020959999999377033,0.0,0,False
28,0.002355000000079599,0.0,0,False
29,0.0039579999998977655,0.0,0,False
30,0.0011809999999741194,0.0,0,False
31,0.0037130000000615837,0.0,0,False
32,0.0028929999999718348,0.0,0,False
33,0.003315999999927044,0.0,0,False
34,0.003512999999998101,0.0,0,False
35,0.003191000000015265,0.0,0,False
36,0.00947299999995721,0.0,0,False
37,0.004570000000057917,0.0,0,False
38,0.006838000000016109,0.0,0,False
39,0.002814999999941392,0.0,0,False
40,0.006334000000038031,0.0,0,False
41,0.0042640000000346845,0.0,0,False
42,0.009128999999916232,0.0,0,False
43,0.00562400000001162,0.0,0,False
44,0.005938999999898442,0.0,0,False
45,0.0026710000000775835,0.0,0,False
46,0.0067020000000184154,0.0,0,False
47,0.0066769999999678475,0.0,0,False
48,0.001376000000050226,0.0,0,False
49,0.003574999999955253,0.0,0,False
50,0.001142000000072585,0.0,0,False
51,0.014364000000000487,0.0,0,False
52,0.004454000000009728,0.0,0,False
53,0.004553999999984626,0.0,0,False
54,0.0013000000000147338,0.0,0,False
55,0.0026080000000092696,0.0,0,False
56,0.003911000000016429,0.0,0,False
57,0.0021970000000237633,0.0,0,False
58,0.006900999999970736,0.0,0,False
59,0.007776999999919099,0.0,0,False
60,0.004141000000004169,0.0,0,False
61,0.0022620000000870277,0.0,0,False
62,0.002828000000022257,0.0,0,False
63,0.002701000000001841,0.0,0,False
64,0.0033429999999725624,0.0,0,False
65,0.00722900000005211,0.0,0,False
66,0.0006719999998949788,0.0,0,False
67,0.0033640000000332293,0.0,0,False
68,0.003395999999952437,0.0,0,False
69,0.003547000000025946,0.0,0,False
70,0.004543000000012398,0.0,0,False
71,0.004677000000015141,0.0,0,False
72,0.0006849999999758438,0.0,0,False
73,0.0016759999999749198,0.0,0,False
74,0.004774999999995089,0.0,0,False
75,0.021205000000009022,0.0,0,False
76,0.0073490000000902,0.0,0,False
77,0.008507000000008702,0.0,0,False
78,0.00254199999994853,0.0,0,False
79,0.004209000000059859,0.0,0,False
80,0.0015430000000833388,0.0,0,False
81,0.005048999999985426,0.0,0,False
82,0.004855000000020482,0.0,0,False
83,0.007001999999943109,0.0,0,False
84,0.00502300000005107,0.0,0,False
85,0.01038800000003448,0.0,0,False
86,0.0076009999999087086,0.0,0,False
87,0.003608999999983098,0.0,0,False
88,0.002173999999968146,0.0,0,False
89,0.006691000000046188,0.0,0,False
90,0.0031860000000278887,0.0,0,False
91,0.017806999999947948,0.0,0,False
92,0.0025819999999612264,0.0,0,False
93,0.0034949999999298598,0.0,0,False
94,0.010279000000082306,0.0,0,False
95,0.001458999999954358,0.0,0,False
96,0.00573199999996632,0.0,0,False
97,0.0028500000000803993,0.0,0,False
98,0.007467000000019652,0.0,0,False
99,0.0011499999999387,0.0,0,False
100,0.0025400000000672662,0.0,0,False
101,0.001810999999975138,0.0,0,False
102,0.00492399999995996,0.0,0,False
103,0.0017569999999977881,0.0,0,False
104,0.00527399999998579,0.0,0,False
105,0.0009079999999812571,0.0,0,False
106,0.0006160000000363652,0.0,0,False
107,0.0026119999999991705,0.0,0,False
108,0.004794000000060805,0.0,0,False
109,0.005357000000003609,0.0,0,False
110,0.0006750000000010914,0.0,0,False
111,0.002685000000042237,0.0,0,False
112,0.005209999999920001,0.0,0,False
113,0.004365000000007058,0.0,0,False
114,0.008253999999965345,0.0,0,False
115,0.006905000000074324,0.0,0,False
116,0.009136000000012245,0.0,0,False
117,0.001530999999999949,0.0,0,False
118,0.02163000000007287,0.0,0,False
119,0.0019139999999424617,0.0,0,False
120,0.0022320000000490836,0.0,0,False
121,0.012372999999911372,0.0,0,False
122,0.0026790000000573855,0.0,0,False
123,0.003796999999963191,0.0,0,False
124,0.01722400000005564,0.0,0,False
125,0.007091999999943255,0.0,0,False
126,0.0010220000000344953,0.0,0,False
127,0.0014019999999845822,0.0,0,False
128,0.002735000000029686,0.0,0,False
129,0.008624999999938154,0.0,0,False
130,0.006879000000026281,0.0,0,False
131,0.0029749999999921783,0.0,0,False
132,0.017539999999939937,0.0,0,False
133,0.008924000000092747,0.0,0,False
134,0.017922999999996136,0.0,0,False
135,0.006722000000081607,0.0,0,False
136,0.030406000000084532,0.0,0,False
137,0.003040000000055443,0.0,0,False
138,0.016015999999922315,0.0,0,False
139,0.003654999999980646,0.0,0,False
140,0.022054000000025553,0.0,0,False
141,0.004025000000069667,0.0,0,False
142,0.02254800000002888,0.0,0,False
143,0.005441000000018903,0.0,0,False
144,0.009946000000013555,0.0,0,False
145,0.012011000000029526,0.0,0,False
146,0.014676000000008571,0.0,0,False
147,0.0019379999999955544,0.0,0,False
148,0.006521999999904438,0.0,0,False
149,0.0037050000000817818,0.0,0,False
150,0.004983999999922162,0.0,0,False
151,0.008629000000041742,0.0,0,False
152,0.031747999999993226,0.0,0,False
153,0.017229999999926804,0.0,0,False
154,0.02161999999998443,0.0,0,False
155,0.011116000000015447,0.0,0,False
156,0.0031559999999899446,0.0,0,False
157,0.012606999999889013,0.0,0,False
158,0.019227999999998246,0.0,0,False
159,0.01900799999998526,0.0,0,False
160,0.002943999999956759,0.0,0,False
161,0.006047999999964304,0.0,0,False
162,0.005511999999953332,0.0,0,False
163,0.009964999999965585,0.0,0,False
164,0.029432999999926324,0.0,0,False
165,0.016346999999996115,0.0,0,False
166,0.030308999999988373,0.0,0,False
167,0.020276999999964573,0.0,0,False
168,0.012713999999959924,0.0,0,False
169,0.03561600000000453,0.0,0,False
170,0.006737000000043736,0.0,0,False
171,0.00451599999996688,0.0,0,False
172,0.002036999999972977,0.0,0,False
173,0.029078999999910593,0.0,0,False
174,0.0019290000000182772,0.0,0,False
175,0.007195000000024265,0.0,0,False
176,0.02790000000004511,0.0,0,False
177,0.026813000000061038,0.0,0,False
178,0.027082999999947788,0.0,0,False
179,0.0034269999999878564,0.0,0,False
180,0.006304000000000087,0.0,0,False
181,0.0031510000000025684,0.0,0,False
182,0.02040199999999004,0.0,0,False
183,0.0006789999999909924,0.0,0,False
184,0.026525999999989835,0.0,0,False
185,0.0013040000000046348,0.0,0,False
186,0.027063999999995758,0.0,0,False
187,0.02825000000007094,0.0,0,False
188,0.01788699999997334,0.0,0,False
189,0.022420000000010987,0.0,0,False
190,0.028379999999970096,0.0,0,False
191,0.014233999999987645,0.0,0,False
192,0.004508999999984553,0.0,0,False
193,0.028847999999925378,0.0,0,False
194,0.01901799999996001,0.0,0,False
195,0.021526999999991858,0.0,0,False
196,0.02919700000006742,0.0,0,False
197,0.009553999999980078,0.0,0,False
198,0.02891999999997097,0.0,0,False
199,0.006846999999993386,0.0,0,False
200,0.02931100000000697,0.0,0,True
