steps,time,reward,delta,converged
1,0.0029330000000413747,0.0,0,False
2,0.01275700000002189,0.0,0,False
3,0.0042680000000245855,0.0,0,False
4,0.002659999999991669,0.0,0,False
5,0.00382099999995944,0.0,0,False
6,0.013360000000034233,0.0,0,False
7,0.002048000000002048,0.0,0,False
8,0.0010249999999700776,0.0,0,False
9,0.006152999999983422,0.0,0,False
10,0.014584000000013475,0.0,0,False
11,0.0044039999999654356,0.0,0,False
12,0.011091999999962354,0.0,0,False
13,0.022359999999991942,0.0,0,False
14,0.00602299999997058,0.0,0,False
15,0.004367999999999483,0.0,0,False
16,0.016360000000020136,0.0,0,False
17,0.003160999999977321,0.0,0,False
18,0.00534000000004653,0.0,0,False
19,0.004668999999978496,0.0,0,False
20,0.011215999999990345,0.0,0,False
21,0.001625000000046839,0.0,0,False
22,0.013961999999992258,0.0,0,False
23,0.007900000000006457,0.0,0,False
24,0.0012960000000248328,0.0,0,False
25,0.0017300000000091131,0.0,0,False
26,0.002747999999996864,0.0,0,False
27,0.006183000000021366,0.0,0,False
28,0.009290000000021337,0.0,0,False
29,0.0046329999999557,0.0,0,False
30,0.006439999999997781,0.0,0,False
31,0.003958999999952084,0.0,0,False
32,0.001213000000007014,0.0,0,False
33,0.004937999999981457,0.0,0,False
34,0.02887599999996837,0.0,0,False
35,0.006370000000003984,0.0,0,False
36,0.004018000000030497,0.0,0,False
37,0.003700999999978194,0.0,0,False
38,0.008617000000015196,0.0,0,False
39,0.004503999999997177,0.0,0,False
40,0.0049960000000055516,0.0,0,False
41,0.010898999999994885,0.0,0,False
42,0.004712999999981093,0.0,0,False
43,0.024805000000014843,0.0,0,False
44,0.0030439999999885003,0.0,0,False
45,0.016560000000026776,0.0,0,False
46,0.008183000000030916,0.0,0,False
47,0.011279000000001815,0.0,0,False
48,0.01035100000001421,0.0,0,False
49,0.006064999999978227,0.0,0,False
50,0.002704999999991742,0.0,0,False
51,0.018254999999953725,0.0,0,False
52,0.028344000000004144,0.0,0,False
53,0.014855000000011387,0.0,0,False
54,0.011004000000014003,0.0,0,False
55,0.0006239999999593238,0.0,0,False
56,0.01841699999999946,0.0,0,False
57,0.013405000000034306,0.0,0,False
58,0.010334000000000287,0.0,0,False
59,0.014206000000001495,0.0,0,False
60,0.028904000000011365,0.0,0,False
61,0.009166999999990821,0.0,0,False
62,0.028344000000004144,0.0,0,False
63,0.0035739999999577776,0.0,0,False
64,0.027908000000024913,0.0,0,False
65,0.012835999999992964,0.0,0,False
66,0.017058999999960633,0.0,0,False
67,0.01872400000002017,0.0,0,False
68,0.012635999999986325,0.0,0,False
69,0.009698000000014417,0.0,0,False
70,0.029177000000004227,0.0,0,False
71,0.020111999999983254,0.0,0,False
72,0.005842000000029657,0.0,0,False
73,0.02953700000000481,0.0,0,False
74,0.0072190000000205146,0.0,0,False
75,0.02654899999998861,0.0,0,False
76,0.006774999999947795,0.0,0,False
77,0.01966600000002927,0.0,0,False
78,0.029232999999976528,0.0,0,False
79,0.0104970000000435,0.0,0,False
80,0.007411999999987984,0.0,0,False
81,0.01029500000004191,0.0,0,False
82,0.017618999999967855,0.0,0,False
83,0.02948300000002746,0.0,0,False
84,0.010635000000036143,0.0,0,False
85,0.0065469999999550055,0.0,0,False
86,0.005312000000003536,0.0,0,False
87,0.01125400000000809,0.0,0,False
88,0.029702999999983604,0.0,0,False
89,0.029821000000026743,0.0,0,False
90,0.029298000000039792,0.0,0,False
91,0.007441000000028453,0.0,0,False
92,0.015848000000005413,0.0,0,False
93,0.02847100000002456,0.0,0,False
94,0.027327000000013868,0.0,0,False
95,0.00585399999999936,0.0,0,False
96,0.027365999999972246,0.0,0,False
97,0.009952999999995882,0.0,0,False
98,0.029262000000016997,0.0,0,False
99,0.029183999999986554,0.0,0,False
100,0.029434999999978118,0.0,0,False
101,0.009017999999969106,0.0,0,False
102,0.028864999999996144,0.0,0,False
103,0.03135500000001912,0.0,0,False
