params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.4495720000000034,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",2.435432000000006,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.7477240000000052,100,-3.504326923076923,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.3}",1.7175470000000104,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.4}",1.7339919999999864,100,-3.9072115384615387,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.5}",1.6597679999999997,100,-4.310096153846153,-13.375,-13.375,6.769230769230769,10.02162827278062
"{""discount_factor"": 0.6}",1.7175510000000145,100,-3.9072115384615382,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.7}",1.6678859999999815,100,-2.4971153846153844,6.769230769230769,-13.375,6.769230769230769,10.039832880469248
"{""discount_factor"": 0.8}",1.745759000000021,100,-4.5115384615384615,-13.375,-13.375,6.769230769230769,9.999333187827249
"{""discount_factor"": 0.9}",1.9431909999999846,100,-6.928846153846154,-13.375,-13.375,6.769230769230769,9.39680324592377
