params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.8250069999999994,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.8445430000000016,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.9091449999999952,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.1596930000000043,100,6.134969325153375e-05,0.0,0.0,0.006134969325153374,0.0006104217405562086
"{""discount_factor"": 0.4}",1.1226560000000063,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",1.3068889999999982,100,0.0012539494247976435,0.0,0.0,0.03125,0.004387281658846102
"{""discount_factor"": 0.6}",1.2264109999999988,100,0.009724218280632168,0.009167081466733035,0.0,0.043478260869565216,0.010147531368190162
"{""discount_factor"": 0.7}",1.1632620000000031,100,0.00904560068287237,0.007042602787283638,0.0,0.047619047619047616,0.010121696555054124
"{""discount_factor"": 0.8}",1.222077000000013,100,0.010584783787304422,0.010309278350515464,0.0,0.045454545454545456,0.009707773545739826
"{""discount_factor"": 0.9}",1.2803049999999985,100,0.011348325909906698,0.01098901098901099,0.0,0.034482758620689655,0.00879540897389773
