step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.004132231404958678,7.24952878062926e-05,0.0,0.000542505058253435,0.004132231404958678,0.0
57,0.0,7.124536905101169e-05,0.0,0.000537890740614901,0.004132231404958678,0.0
58,0.0,7.003782042302844e-05,0.0,0.000533392149171026,0.004132231404958678,0.0
59,0.0,6.887052341597797e-05,0.0,0.0005290045280901245,0.004132231404958678,0.0
60,0.0,6.774149844194554e-05,0.0,0.0005247233906255815,0.004132231404958678,0.0
61,0.0,6.664889362836577e-05,0.0,0.0005205444998604809,0.004132231404958678,0.0
62,0.0,6.559097468188377e-05,0.0,0.0005164638511092622,0.004132231404958678,0.0
63,0.0,6.456611570247934e-05,0.0,0.0005124776558105483,0.004132231404958678,0.0
64,0.005494505494505495,0.00014810364460714114,0.0,0.0008397726083501885,0.005494505494505495,0.0
65,0.0,0.00014585964999188142,0.0,0.0008335827615067281,0.005494505494505495,0.0
66,0.0,0.00014368264029051005,0.0,0.0008275276253510307,0.005494505494505495,0.0
67,0.0,0.00014156966028623785,0.0,0.0008216023900671506,0.005494505494505495,0.0
68,0.0,0.00013951792607919093,0.0,0.000815802482543403,0.005494505494505495,0.0
69,0.0,0.0001375248128494882,0.0,0.000810123551625022,0.005494505494505495,0.0
70,0.0,0.00013558784365442497,0.0,0.0008045614544727169,0.005494505494505495,0.0
71,0.0,0.00013370467915922463,0.0,0.0007991122439305931,0.005494505494505495,0.0
72,0.0,0.000131873108211838,0.0,0.0007937721568164851,0.005494505494505495,0.0
73,0.0,0.00013009103918194828,0.0,0.0007885376030562657,0.005494505494505495,0.0
74,0.0,0.00012835649199285565,0.0,0.0007834051555912768,0.005494505494505495,0.0
75,0.0,0.00012666759078242335,0.0,0.0007783715409947947,0.005494505494505495,0.0
76,0.0,0.00012502255713589837,0.0,0.0007734336307394846,0.005494505494505495,0.0
77,0.0,0.00012341970383928426,0.0,0.0007685884330632063,0.005494505494505495,0.0
78,0.0,0.00012185742910714144,0.0,0.0007638330853853774,0.005494505494505495,0.0
79,0.0,0.00012033421124330216,0.0,0.0007591648472304454,0.005494505494505495,0.0
