steps,time,reward,delta,converged
1,0.013280000000001735,-892.8938985604816,183.51994743410978,False
2,0.019410000000000593,5489.885634672599,190.8172746080107,False
3,0.019398999999999944,7057.983873442177,84.72491372962546,False
4,0.019547000000002868,7291.146802069391,67.77992554201845,False
5,0.01951700000000045,7477.677123126632,54.223934979509714,False
6,0.01992299999999858,7626.901358126159,43.379142513973804,False
7,0.019499000000003264,7661.604666745348,6.739986702086753e-06,True
