params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.002844000000003,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.6268349999999998,100,-3.705769230769231,-13.375,-13.375,6.769230769230769,10.064054466649727
"{""discount_factor"": 0.2}",1.7079530000000034,100,-5.3173076923076925,-13.375,-13.375,6.769230769230769,9.868617329097612
"{""discount_factor"": 0.3}",1.5995619999999988,100,-3.101442307692307,6.769230769230769,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.4}",1.653347999999994,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.5}",1.6121860000000012,100,-3.705769230769231,-13.375,-13.375,6.769230769230769,10.064054466649726
"{""discount_factor"": 0.6}",1.622798000000003,100,-3.504326923076923,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.7}",1.7746130000000022,100,-3.9072115384615382,-13.375,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.8}",1.6873300000000029,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.9}",1.912427000000001,100,-2.4971153846153844,6.769230769230769,-13.375,6.769230769230769,10.039832880469248
