step,reward,mean,median,std,max,min
0,0.04,0.04,0.04,0.0,0.04,0.04
1,0.011904761904761904,0.025952380952380952,0.025952380952380952,0.014047619047619048,0.04,0.011904761904761904
2,0.02564102564102564,0.02584859584859585,0.02564102564102564,0.011470771986526816,0.04,0.011904761904761904
3,0.020833333333333332,0.02459478021978022,0.023237179487179488,0.010168584875406866,0.04,0.011904761904761904
4,0.0,0.019675824175824176,0.020833333333333332,0.013397933010138892,0.04,0.0
5,0.0,0.016396520146520144,0.016369047619047616,0.014260306753474462,0.04,0.0
6,0.0,0.014054160125588697,0.011904761904761904,0.014395323704298517,0.04,0.0
7,0.019230769230769232,0.014701236263736263,0.015567765567765568,0.013573987224928283,0.04,0.0
8,0.0,0.013067765567765567,0.011904761904761904,0.013606115220374538,0.04,0.0
9,0.0,0.011760989010989011,0.005952380952380952,0.013490097070635334,0.04,0.0
10,0.0,0.010691808191808191,0.0,0.0132992598167345,0.04,0.0
11,0.0,0.009800824175824176,0.0,0.013071476455156878,0.04,0.0
12,0.0,0.0090469146238377,0.0,0.012827342131839895,0.04,0.0
13,0.0,0.008400706436420722,0.0,0.01257841022797395,0.04,0.0
14,0.0,0.00784065934065934,0.0,0.012331252251829237,0.04,0.0
15,0.0,0.007350618131868132,0.0,0.012089588558416976,0.04,0.0
16,0.014705882352941176,0.007783280733107722,0.0,0.0118556216206391,0.04,0.0
17,0.0,0.007350876247935071,0.0,0.011658716152094635,0.04,0.0
18,0.023809523809523808,0.008217120856439742,0.0,0.011928055796304043,0.04,0.0
19,0.0,0.007806264813617754,0.0,0.011763156055935793,0.04,0.0
20,0.0,0.007434537917731195,0.0,0.011599410452339438,0.04,0.0
21,0.0,0.00709660437601614,0.0,0.01143804010945156,0.04,0.0
22,0.0,0.006788056359667612,0.0,0.011279849105655012,0.04,0.0
23,0.0,0.006505220678014796,0.0,0.011125351509541172,0.04,0.0
24,0.03225806451612903,0.007535334431539365,0.0,0.012012066127324953,0.04,0.0
25,0.0,0.00724551387648016,0.0,0.011867604071537845,0.04,0.0
26,0.00819672131147541,0.007280743781479983,0.0,0.011647145526957085,0.04,0.0
27,0.0,0.007020717217855699,0.0,0.011516801413324325,0.04,0.0
28,0.0,0.006778623520688261,0.0,0.011388770653731584,0.04,0.0
29,0.0,0.0065526694033319855,0.0,0.011263269051858132,0.04,0.0
30,0.0,0.006341292970966438,0.0,0.011140436790627213,0.04,0.0
31,0.0,0.006143127565623735,0.0,0.011020357100776628,0.04,0.0
32,0.0,0.005956972184847259,0.0,0.010903070321192683,0.04,0.0
33,0.0,0.005781767120587045,0.0,0.010788584552623205,0.04,0.0
34,0.0,0.005616573774284558,0.0,0.010676883771759182,0.04,0.0
35,0.0,0.005460557836109987,0.0,0.010567934037538024,0.04,0.0
36,0.0,0.005312975191890798,0.0,0.010461688254409074,0.04,0.0
37,0.0,0.005173160055262093,0.0,0.010358089837286854,0.04,0.0
38,0.0,0.005040514925639988,0.0,0.01025707553588962,0.04,0.0
39,0.03225806451612903,0.005720953665402215,0.0,0.010983364095277039,0.04,0.0
40,0.0,0.005581418210148502,0.0,0.010884428919382084,0.04,0.0
41,0.0,0.005448527300383062,0.0,0.010787683694222746,0.04,0.0
42,0.0,0.005321817363164851,0.0,0.01069308523106364,0.04,0.0
43,0.0,0.005200866968547468,0.0,0.010600586550843599,0.04,0.0
44,0.0,0.0050852921470241905,0.0,0.010510138045099995,0.04,0.0
45,0.0,0.0049747423177410564,0.0,0.010421688396716249,0.04,0.0
46,0.0,0.004868896736512523,0.0,0.010335185308939248,0.04,0.0
47,0.02,0.005184128054501845,0.0,0.010452805734527776,0.04,0.0
48,0.02,0.0054864927880834405,0.0,0.010555553094174691,0.04,0.0
49,0.0,0.005376762932321771,0.0,0.010477657110370162,0.04,0.0
50,0.004830917874396135,0.00536606008804872,0.0,0.010374702481779125,0.04,0.0
51,0.0,0.005262866624817014,0.0,0.010300856843935629,0.04,0.0
52,0.0,0.0051635672545374475,0.0,0.01022831166574,0.04,0.0
53,0.0125,0.005299427120194162,0.0,0.010181318744016092,0.04,0.0
54,0.016129032258064516,0.005496329031791805,0.0,0.010191571875659524,0.04,0.0
55,0.0,0.005398180299081236,0.0,0.010126360337555594,0.04,0.0
56,0.0,0.005303475381553496,0.0,0.01006212879253274,0.04,0.0
57,0.030303030303030304,0.005734502190544474,0.0,0.010492402103777339,0.04,0.0
58,0.0,0.005637307238162365,0.0,0.010429404537442854,0.04,0.0
59,0.0,0.005543352117526325,0.0,0.010367276916937732,0.04,0.0
60,0.009900990099009901,0.005614788805747368,0.0,0.01029682710472455,0.04,0.0
61,0.021739130434782608,0.005874858832022129,0.0,0.010413471802552688,0.04,0.0
62,0.0,0.005781607104529715,0.0,0.010356556557172146,0.04,0.0
